scenario_id,model,stratum,subject,prompt_variant,line1,line2,line3,latency_ms,syllable_line1,syllable_line2,syllable_line3,syllable_l1_error,syllable_perfect,line_count_ok,subject_mentioned,subject_cosine_full,subject_cosine_word_sum
cn_ocean_strict,gpt-4o-mini-demo,concrete_nature,ocean,strict,Salt waves crash and roll,Seagulls cry above the deep blue sea today,Tide marks fade at d,100.0,6,12,5,6,0,1,0,0.3871122494598481,0.6635410068902121
cn_ocean_natural,gpt-4o-mini-demo,concrete_nature,ocean,natural,Salt waves crash and roll,Seagulls cry above the deep blue sea today,Tide marks fade at d,101.0,6,12,5,6,0,1,0,0.3871122494598481,0.6635410068902121
cn_snow_strict,gpt-4o-mini-demo,concrete_nature,snow,strict,Soft white flakes descend,Blanketing the silent winter woods today,Footprints melt a,102.0,7,11,4,7,0,1,0,0.38765608089058284,0.6090296750522424
cn_snow_natural,gpt-4o-mini-demo,concrete_nature,snow,natural,Soft white flakes descend,Blanketing the silent winter woods today,Footprints melt a,103.0,7,11,4,7,0,1,0,0.38765608089058284,0.6090296750522424
cn_autumn_strict,gpt-4o-mini-demo,concrete_nature,autumn leaves,strict,Crimson leaves spiral,Wind lifts them from the maple trees today,Crisp air fills the l,104.0,6,10,5,4,0,1,0,0.5517408945738279,0.49242296944492875
cn_autumn_natural,gpt-4o-mini-demo,concrete_nature,autumn leaves,natural,Crimson leaves spiral,Wind lifts them from the maple trees today,Crisp air fills the l,105.0,6,10,5,4,0,1,0,0.5517408945738279,0.49242296944492875
co_bicycle_strict,gpt-4o-mini-demo,concrete_object,bicycle,strict,Wheels spin on pavement,A rusty chain clicks through morning light today,Helmet hangs on h,106.0,6,11,5,5,0,1,0,0.331336938741506,0.5485264515008983
co_bicycle_natural,gpt-4o-mini-demo,concrete_object,bicycle,natural,Wheels spin on pavement,A rusty chain clicks through morning light today,Helmet hangs on h,107.0,6,11,5,5,0,1,0,0.331336938741506,0.5485264515008983
co_coffee_strict,gpt-4o-mini-demo,concrete_object,coffee cup,strict,Steam curls from the mug,Bitter warmth wakes my sleepy mind today,Saucer rings the w,108.0,5,11,5,4,0,1,0,0.315519242527695,0.5222336613291491
co_coffee_natural,gpt-4o-mini-demo,concrete_object,coffee cup,natural,Steam curls from the mug,Bitter warmth wakes my sleepy mind today,Saucer rings the w,109.0,5,11,5,4,0,1,0,0.315519242527695,0.5222336613291491
co_clock_strict,gpt-4o-mini-demo,concrete_object,clock,strict,Tick tock marks the hours,Brass pendulum swings through dim light today,Midnight chimes o,110.0,5,10,5,3,0,1,0,0.3942841513297922,0.558558421197998
co_clock_natural,gpt-4o-mini-demo,concrete_object,clock,natural,Tick tock marks the hours,Brass pendulum swings through dim light today,Midnight chimes o,111.0,5,10,5,3,0,1,0,0.3942841513297922,0.558558421197998
ab_grief_strict,gpt-4o-mini-demo,abstract,grief,strict,Empty chair by fire,Letters folded in a drawer remain today,Rain taps the win,112.0,5,12,4,6,0,1,0,0.13072593786370343,0.41882572962135267
ab_grief_natural,gpt-4o-mini-demo,abstract,grief,natural,Empty chair by fire,Letters folded in a drawer remain today,Rain taps the win,113.0,5,12,4,6,0,1,0,0.13072593786370343,0.41882572962135267
ab_time_strict,gpt-4o-mini-demo,abstract,time,strict,Sand drains through glass,Calendar pages curl at corners today,Sun sets without pa,114.0,4,11,5,5,0,1,0,0.040104592517973894,0.5273889636869369
ab_time_natural,gpt-4o-mini-demo,abstract,time,natural,Sand drains through glass,Calendar pages curl at corners today,Sun sets without pa,115.0,4,11,5,5,0,1,0,0.040104592517973894,0.5273889636869369
ab_silence_strict,gpt-4o-mini-demo,abstract,silence,strict,No birds at sunrise,Snow absorbs the distant highway hum today,Breath clouds the,116.0,6,11,3,7,0,1,0,0.26229589574842493,0.5290097564610605
ab_silence_natural,gpt-4o-mini-demo,abstract,silence,natural,No birds at sunrise,Snow absorbs the distant highway hum today,Breath clouds the,117.0,6,11,3,7,0,1,0,0.26229589574842493,0.5290097564610605
cp_frost_strict,gpt-4o-mini-demo,compound,morning frost,strict,Ice lace on the pane,Boots crunch through stiff silver grass today,Breath hangs white and st,118.0,6,9,6,4,0,1,0,0.35920782831996884,0.45155282265881824
cp_frost_natural,gpt-4o-mini-demo,compound,morning frost,natural,Ice lace on the pane,Boots crunch through stiff silver grass today,Breath hangs white and st,119.0,6,9,6,4,0,1,0,0.35920782831996884,0.45155282265881824
cp_traffic_strict,gpt-4o-mini-demo,compound,city traffic,strict,Horns blur at the light,Exhaust hangs over wet asphalt today,Crosswalk signal bli,120.0,5,10,5,3,0,1,0,0.2410000401440934,0.3825956944332476
cp_traffic_natural,gpt-4o-mini-demo,compound,city traffic,natural,Horns blur at the light,Exhaust hangs over wet asphalt today,Crosswalk signal bli,121.0,5,10,5,3,0,1,0,0.2410000401440934,0.3825956944332476
cp_winter_strict,gpt-4o-mini-demo,compound,winter night,strict,Stars pierce the cold dark,Frost etches patterns on the gate today,Embers glow indo,122.0,6,10,5,4,0,1,0,0.41305904464414045,0.5948931341871482
cp_winter_natural,gpt-4o-mini-demo,compound,winter night,natural,Stars pierce the cold dark,Frost etches patterns on the gate today,Embers glow indo,123.0,6,10,5,4,0,1,0,0.41305904464414045,0.5948931341871482
cn_ocean_strict,gpt-4o-demo,concrete_nature,ocean,strict,Salt waves crash and roll,Seagulls cry above the deep blue sea,Tide marks fade at dusk,100.0,6,10,5,4,0,1,0,0.363999719738027,0.6719778909482345
cn_ocean_natural,gpt-4o-demo,concrete_nature,ocean,natural,Salt waves crash and roll,Seagulls cry above the deep blue sea,Tide marks fade at dusk,101.0,6,10,5,4,0,1,0,0.363999719738027,0.6719778909482345
cn_snow_strict,gpt-4o-demo,concrete_nature,snow,strict,Soft white flakes descend,Blanketing the silent winter woods,Footprints melt away,102.0,7,9,5,4,0,1,0,0.383552899979773,0.6094206113504257
cn_snow_natural,gpt-4o-demo,concrete_nature,snow,natural,Soft white flakes descend,Blanketing the silent winter woods,Footprints melt away,103.0,7,9,5,4,0,1,0,0.383552899979773,0.6094206113504257
cn_autumn_strict,gpt-4o-demo,concrete_nature,autumn leaves,strict,Crimson leaves spiral,Wind lifts them from the maple trees,Crisp air fills the lane,104.0,6,8,5,2,0,1,0,0.4862102976661888,0.49237533921285004
cn_autumn_natural,gpt-4o-demo,concrete_nature,autumn leaves,natural,Crimson leaves spiral,Wind lifts them from the maple trees,Crisp air fills the lane,105.0,6,8,5,2,0,1,0,0.4862102976661888,0.49237533921285004
co_bicycle_strict,gpt-4o-demo,concrete_object,bicycle,strict,Wheels spin on pavement,A rusty chain clicks through morning light,Helmet hangs on hook,106.0,6,9,5,3,0,1,0,0.35430298941434324,0.5608590838210773
co_bicycle_natural,gpt-4o-demo,concrete_object,bicycle,natural,Wheels spin on pavement,A rusty chain clicks through morning light,Helmet hangs on hook,107.0,6,9,5,3,0,1,0,0.35430298941434324,0.5608590838210773
co_coffee_strict,gpt-4o-demo,concrete_object,coffee cup,strict,Steam curls from the mug,Bitter warmth wakes my sleepy mind,Saucer rings the wood,108.0,5,9,5,2,0,1,0,0.3338271984701324,0.5290317239633412
co_coffee_natural,gpt-4o-demo,concrete_object,coffee cup,natural,Steam curls from the mug,Bitter warmth wakes my sleepy mind,Saucer rings the wood,109.0,5,9,5,2,0,1,0,0.3338271984701324,0.5290317239633412
co_clock_strict,gpt-4o-demo,concrete_object,clock,strict,Tick tock marks the hours,Brass pendulum swings through dim light,Midnight chimes once,110.0,5,8,5,1,0,1,0,0.37758473751933114,0.5517851398092176
co_clock_natural,gpt-4o-demo,concrete_object,clock,natural,Tick tock marks the hours,Brass pendulum swings through dim light,Midnight chimes once,111.0,5,8,5,1,0,1,0,0.37758473751933114,0.5517851398092176
ab_grief_strict,gpt-4o-demo,abstract,grief,strict,Empty chair by fire,Letters folded in a drawer remain,Rain taps the window,112.0,5,10,5,3,0,1,0,0.05680412565740717,0.40355144909911306
ab_grief_natural,gpt-4o-demo,abstract,grief,natural,Empty chair by fire,Letters folded in a drawer remain,Rain taps the window,113.0,5,10,5,3,0,1,0,0.05680412565740717,0.40355144909911306
ab_time_strict,gpt-4o-demo,abstract,time,strict,Sand drains through glass,Calendar pages curl at corners,Sun sets without pause,114.0,4,9,6,4,0,1,0,0.041645206273476766,0.5148536551350928
ab_time_natural,gpt-4o-demo,abstract,time,natural,Sand drains through glass,Calendar pages curl at corners,Sun sets without pause,115.0,4,9,6,4,0,1,0,0.041645206273476766,0.5148536551350928
ab_silence_strict,gpt-4o-demo,abstract,silence,strict,No birds at sunrise,Snow absorbs the distant highway hum,Breath clouds the air,116.0,6,9,4,4,0,1,0,0.26317342369621555,0.5315432185012855
ab_silence_natural,gpt-4o-demo,abstract,silence,natural,No birds at sunrise,Snow absorbs the distant highway hum,Breath clouds the air,117.0,6,9,4,4,0,1,0,0.26317342369621555,0.5315432185012855
